serial_nbr,batchID
S003B024345,B024345
S006B041542,B041542
S003B012190,B012190
S002B039268,B039268
S002B040251,B040251
S008B035811,B035811
S001B016540,B016540
S002B044016,B044016
S003B044887,B044887
S001B010466,B010466
S008B040266,B040266
S002B021554,B021554
S005B022103,B022103
S008B049898,B049898
S005B043543,B043543
S007B015657,B015657
S001B012304,B012304
S009B012190,B012190
S006B014333,B014333
S000B007665,B007665
S005B017767,B017767
S003B012446,B012446
S006B027810,B027810
S005B003302,B003302
S005B001683,B001683
S009B008159,B008159
S003B022123,B022123
S003B015274,B015274
S003B035731,B035731
S002B022785,B022785
S003B017277,B017277
S000B043347,B043347
S003B037321,B037321
S004B043763,B043763
S008B016750,B016750
S000B029121,B029121
S002B040510,B040510
S003B007873,B007873
S004B014135,B014135
S009B004787,B004787
S001B000644,B000644
S003B039141,B039141
S005B012571,B012571
S009B044948,B044948
S002B021774,B021774
S005B011272,B011272
S002B006861,B006861
S004B006599,B006599
S007B001026,B001026
S004B026220,B026220
S001B019928,B019928
S007B021340,B021340
S009B015153,B015153
S007B031244,B031244
S009B014211,B014211
S007B006889,B006889
S008B010925,B010925
S004B027211,B027211
S001B017973,B017973
S006B044559,B044559
S009B031788,B031788
S005B006926,B006926
S009B049370,B049370
S000B016050,B016050
S006B030822,B030822
S005B044887,B044887
S000B015092,B015092
S000B040014,B040014
S008B019977,B019977
S000B039759,B039759
S004B033475,B033475
S003B009710,B009710
S002B013531,B013531
S003B013039,B013039
S008B023779,B023779
S006B019413,B019413
S003B018868,B018868
S000B019824,B019824
S007B005346,B005346
S002B029186,B029186
S000B010205,B010205
S002B009449,B009449
S009B050150,B050150
S008B039788,B039788
S001B007330,B007330
S003B017259,B017259
S001B023346,B023346
S004B029071,B029071
S004B022508,B022508
S003B013987,B013987
S009B011346,B011346
S006B004781,B004781
S006B002344,B002344
S007B019953,B019953
S002B018842,B018842
S000B016500,B016500
S001B020679,B020679
S000B002857,B002857
S007B002883,B002883
S004B004927,B004927
S001B034471,B034471
S008B001213,B001213
S004B002337,B002337
S008B038861,B038861
S000B022132,B022132
S003B033823,B033823
S004B006240,B006240
S004B011436,B011436
S008B037886,B037886
S002B021937,B021937
S005B042737,B042737
S001B021126,B021126
S008B038941,B038941
S000B049645,B049645
S008B007790,B007790
S005B007255,B007255
S008B049136,B049136
S004B003499,B003499
S007B040223,B040223
S009B028508,B028508
S007B044649,B044649
S008B019871,B019871
S002B000321,B000321
S003B005704,B005704
S003B035613,B035613
S007B032576,B032576
S003B039845,B039845
S004B039634,B039634
S003B038983,B038983
S000B014286,B014286
S009B003997,B003997
S006B031822,B031822
S007B044692,B044692
S004B039570,B039570
S005B044797,B044797
S004B008070,B008070
S006B012803,B012803
S009B017864,B017864
S009B021582,B021582
S008B019810,B019810
S001B013523,B013523
S004B002156,B002156
S002B035699,B035699
S001B034144,B034144
S004B017574,B017574
S000B004741,B004741
S005B048059,B048059
S009B005458,B005458
S007B016274,B016274
S000B002632,B002632
S005B019959,B019959
S009B050197,B050197
S001B004889,B004889
S003B019824,B019824
