batchID,test1,test2,test3,test4,test5,test6,test7,test8,test9,test10,test11,test12,test13,test14,test15,test16,test17,test18,test19,test20,test21,test22,test23,test24,test25,test26,test27,test28,test29,test30
B036078,198,711,536,283,623,948,83,18,538,556,799,673,792,301,566,973,98,513,314,712,264,301,950,490,22,618,180,25,129,995
B033696,87,218,485,715,181,528,197,101,398,878,761,723,0,554,599,907,829,454,372,533,875,37,742,888,5,747,979,894,60,429
B034702,303,495,17,975,211,749,589,55,165,842,400,543,669,810,267,411,860,735,329,222,814,363,674,491,734,752,673,637,398,52
B050146,621,72,651,337,506,428,89,238,368,359,320,737,129,953,719,362,710,895,632,6,189,890,821,311,405,404,34,403,227,810
B045276,707,379,781,560,324,14,975,505,877,324,373,910,151,995,161,245,875,671,233,563,515,480,668,832,997,272,369,957,48,935
B034675,297,136,123,815,733,774,206,64,92,75,81,499,311,946,205,436,970,70,819,18,337,216,500,439,307,836,242,951,437,582
B037967,962,481,687,110,81,684,940,695,696,474,541,467,570,318,196,848,419,876,530,402,521,97,725,677,683,835,970,200,760,197
B036724,584,160,836,973,639,825,389,446,774,126,304,965,420,584,151,131,194,340,147,442,22,766,478,109,325,118,2,479,790,804
B022066,329,281,261,911,784,535,685,390,912,349,364,706,509,413,766,30,412,373,706,322,401,27,735,278,725,538,460,665,255,619
B002821,300,257,91,704,252,99,271,963,477,954,328,541,424,191,21,252,875,776,165,740,892,672,172,745,304,81,521,41,984,418
B049481,971,295,706,653,999,655,541,21,515,341,806,693,786,217,269,809,64,380,541,162,629,0,558,915,661,112,712,168,964,559
B015622,331,252,273,656,362,797,478,776,563,945,811,872,623,892,354,411,319,989,978,334,277,504,630,899,232,730,437,92,528,324
B000691,609,327,880,822,672,933,930,31,14,473,928,53,81,68,66,531,869,319,418,850,456,677,0,1,680,684,501,344,294,808
B019879,960,586,945,455,40,944,441,812,265,568,510,827,52,465,69,998,290,134,653,887,664,711,330,976,562,655,940,320,411,601
B001490,153,600,350,283,943,744,231,617,195,618,466,5,510,550,721,920,165,530,518,263,12,273,393,433,563,801,421,491,766,898
B016725,911,302,982,424,329,467,443,842,450,784,770,165,410,72,830,892,912,167,561,592,516,410,729,35,887,219,942,640,625,140
B024911,269,11,663,326,23,227,426,105,448,496,993,374,493,25,890,509,419,212,77,327,256,216,458,196,457,152,625,698,996,886
B007229,208,535,745,717,984,106,19,421,666,187,123,805,764,570,351,771,302,910,249,519,472,533,610,561,102,343,417,273,843,674
B039451,162,473,577,103,150,857,530,473,623,92,9,860,480,934,958,862,165,2,577,342,250,628,880,793,956,810,27,950,680,110
B031247,836,902,467,208,14,365,212,243,805,344,699,279,636,355,992,36,443,921,590,594,288,319,910,847,548,746,645,124,378,736
B007145,946,160,556,290,738,825,186,216,970,669,691,66,960,50,870,205,60,130,161,891,760,61,36,522,674,142,714,421,773,502
B003624,858,496,351,444,927,700,447,923,541,529,853,67,681,480,965,72,3,367,220,730,67,138,95,422,521,420,711,680,304,841
B026430,600,373,237,797,910,200,643,142,132,523,309,121,591,247,34,952,488,431,234,64,472,526,795,97,421,988,258,169,738,916
